TARGET,,,,stage,,,,,source,,references,,
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,ответственный_codе,varchar,жуфвр_1с,journal,value_Ответственный_codе,,ответственный_codе," varchar,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,ответственный_name,varchar,жуфвр_1с,journal,value_Ответственный_name,,ответственный_name," varchar,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,версия_жуфвр_value,uuid,жуфвр_1с,journal,value_АктуальнаяВерсияЖУФВР_value,,версия_жуфвр_value," uuid,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,версия_жуфвр_codе,varchar,жуфвр_1с,journal,value_АктуальнаяВерсияЖУФВР_codе,,версия_жуфвр_codе," varchar,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,версия_жуфвр_name,varchar,жуфвр_1с,journal,value_АктуальнаяВерсияЖУФВР_name,,версия_жуфвр_name," varchar,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,направление_деятельности_value,uuid,жуфвр_1с,journal,value_НаправлениеДеятельности_value,,направление_деятельности_value," uuid,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,направление_деятельности_codе,varchar,жуфвр_1с,journal,value_НаправлениеДеятельности_codе,,направление_деятельности_codе," varchar,"
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,направление_деятельности_name,varchar,жуфвр_1с,journal,value_НаправлениеДеятельности_name,,направление_деятельности_name," varchar,"
hub,dv_hub_fact_work,,bk,,stg_1c_pikets,bk_работа_uuid,varchar,жуфвр_1с,pikets,КлючСвязи,,bk_работа_uuid," varchar,"
,,,,,,,,,,,,," ,"
msat,dv_msat_fact_pikets,,bk,,stg_1c_pikets,bk_работа_uuid,varchar,жуфвр_1с,pikets,КлючСвязи,dv_hub_fact_work,bk_работа_uuid," varchar,"
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,ключстроки,uuid,жуфвр_1с,pikets,КлючСтроки,,ключстроки," uuid,"
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,пикет_с,numeric,жуфвр_1с,pikets,ПикетС,,пикет_с," numeric,"
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,пикет_по,numeric,жуфвр_1с,pikets,ПикетПо,,пикет_по," numeric,"
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,смещение_с,numeric,жуфвр_1с,pikets,СмещениеС,,смещение_с," numeric,"
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,смещение_по,numeric,жуфвр_1с,pikets,СмещениеПо,,смещение_по," numeric,"
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,объем_работы,numeric,жуфвр_1с,pikets,Объем,,объем_работы," numeric,"
