TARGET,,,,stage,,,,,source,,references
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,версия_жуфвр_value,uuid,жуфвр_1с,src_journal,"""value_АктуальнаяВерсияЖУФВР_value""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,версия_жуфвр_codе,varchar,жуфвр_1с,src_journal,"""value_АктуальнаяВерсияЖУФВР_codе""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,версия_жуфвр_name,varchar,жуфвр_1с,src_journal,"""value_АктуальнаяВерсияЖУФВР_name""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,направление_деятельности_value,uuid,жуфвр_1с,src_journal,"""value_НаправлениеДеятельности_value""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,направление_деятельности_codе,varchar,жуфвр_1с,src_journal,"""value_НаправлениеДеятельности_codе""",
sat,dv_sat_fact_journal,,attr,,stg_1c_journal,направление_деятельности_name,varchar,жуфвр_1с,src_journal,"""value_НаправлениеДеятельности_name""",
hub,dv_hub_fact_work,,bk,,stg_1c_pikets,bk_работа_uuid,varchar,жуфвр_1с,src_pikets,"""КлючСвязи""",
,,,,,,,,,,,
msat,dv_msat_fact_pikets,,bk,,stg_1c_pikets,bk_работа_uuid,varchar,жуфвр_1с,src_pikets,"""КлючСвязи""",dv_hub_fact_work
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,ключстроки,uuid,жуфвр_1с,src_pikets,"""КлючСтроки""",
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,пикет_с,numeric,жуфвр_1с,src_pikets,"""ПикетС""",
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,пикет_по,numeric,жуфвр_1с,src_pikets,"""ПикетПо""",
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,смещение_с,numeric,жуфвр_1с,src_pikets,"""СмещениеС""",
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,смещение_по,numeric,жуфвр_1с,src_pikets,"""СмещениеПо""",
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,объем_работы,numeric,жуфвр_1с,src_pikets,"""Объем""",
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,вид_пикета_value,uuid,жуфвр_1с,src_pikets,"""ВидПикета_value""",
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,вид_пикета_codе,varchar,жуфвр_1с,src_pikets,"""ВидПикета_codе""",
msat,dv_msat_fact_pikets,,attr,,stg_1c_pikets,вид_пикета_name,varchar,жуфвр_1с,src_pikets,"""ВидПикета_name""",
